Epoch: 0 | Training Loss: 2392344.4976 | Validation Loss: 2.0741 | Test Loss: 2.0741
Epoch: 1 | Training Loss: 0.6071 | Validation Loss: 0.2552 | Test Loss: 0.2546
Epoch: 2 | Training Loss: 0.2883 | Validation Loss: 0.2411 | Test Loss: 0.2411
Epoch: 3 | Training Loss: 0.2670 | Validation Loss: 0.2478 | Test Loss: 0.2480
Epoch: 4 | Training Loss: 0.2345 | Validation Loss: 0.2296 | Test Loss: 0.2296
Epoch: 5 | Training Loss: 0.2500 | Validation Loss: 0.2301 | Test Loss: 0.2301
Epoch: 6 | Training Loss: 0.2256 | Validation Loss: 0.2243 | Test Loss: 0.2242
Epoch: 7 | Training Loss: 0.2215 | Validation Loss: 0.2218 | Test Loss: 0.2217
Epoch: 8 | Training Loss: 0.2193 | Validation Loss: 0.2196 | Test Loss: 0.2194
Epoch: 9 | Training Loss: 0.2173 | Validation Loss: 0.2187 | Test Loss: 0.2188
Epoch: 10 | Training Loss: 0.2728 | Validation Loss: 0.2301 | Test Loss: 0.2302
Epoch: 11 | Training Loss: 0.2248 | Validation Loss: 0.2230 | Test Loss: 0.2229
Epoch: 12 | Training Loss: 0.2202 | Validation Loss: 0.2207 | Test Loss: 0.2208
Epoch: 13 | Training Loss: 0.2173 | Validation Loss: 0.2184 | Test Loss: 0.2184
Epoch: 14 | Training Loss: 0.2163 | Validation Loss: 0.2187 | Test Loss: 0.2185
Epoch: 15 | Training Loss: 0.2140 | Validation Loss: 0.2148 | Test Loss: 0.2148
Epoch: 16 | Training Loss: 0.2634 | Validation Loss: 0.2455 | Test Loss: 0.2456
Epoch: 17 | Training Loss: 0.2279 | Validation Loss: 0.2230 | Test Loss: 0.2232
Epoch: 18 | Training Loss: 0.2268 | Validation Loss: 0.4050 | Test Loss: 0.4042
Epoch: 19 | Training Loss: 0.2345 | Validation Loss: 0.2222 | Test Loss: 0.2223
