Epoch: 0 | Training Loss: 2392344.4976 | Validation Loss: 2.0555 | Test Loss: 2.0551
Epoch: 1 | Training Loss: 0.6960 | Validation Loss: 0.2739 | Test Loss: 0.2734
Epoch: 2 | Training Loss: 0.3071 | Validation Loss: 0.2541 | Test Loss: 0.2537
Epoch: 3 | Training Loss: 0.2423 | Validation Loss: 0.2357 | Test Loss: 0.2356
Epoch: 4 | Training Loss: 0.2314 | Validation Loss: 0.2289 | Test Loss: 0.2289
Epoch: 5 | Training Loss: 0.2841 | Validation Loss: 0.2381 | Test Loss: 0.2380
Epoch: 6 | Training Loss: 0.2308 | Validation Loss: 0.2275 | Test Loss: 0.2276
Epoch: 7 | Training Loss: 0.2412 | Validation Loss: 0.2281 | Test Loss: 0.2281
Epoch: 8 | Training Loss: 0.2251 | Validation Loss: 0.2243 | Test Loss: 0.2242
Epoch: 9 | Training Loss: 0.2222 | Validation Loss: 0.2224 | Test Loss: 0.2223
Epoch: 10 | Training Loss: 0.2205 | Validation Loss: 0.2209 | Test Loss: 0.2208
Epoch: 11 | Training Loss: 0.2192 | Validation Loss: 0.2206 | Test Loss: 0.2205
Epoch: 12 | Training Loss: 0.2571 | Validation Loss: 0.2266 | Test Loss: 0.2264
Epoch: 13 | Training Loss: 0.2224 | Validation Loss: 0.2220 | Test Loss: 0.2218
Epoch: 14 | Training Loss: 0.2262 | Validation Loss: 0.8508 | Test Loss: 0.8475
Epoch: 15 | Training Loss: 0.2393 | Validation Loss: 0.2225 | Test Loss: 0.2223
Epoch: 16 | Training Loss: 0.2196 | Validation Loss: 0.2203 | Test Loss: 0.2201
Epoch: 17 | Training Loss: 0.2409 | Validation Loss: 0.2302 | Test Loss: 0.2303
Epoch: 18 | Training Loss: 0.2251 | Validation Loss: 0.2230 | Test Loss: 0.2228
Epoch: 19 | Training Loss: 0.2196 | Validation Loss: 0.2199 | Test Loss: 0.2197
