Epoch: 0 | Training Loss: 2392344.4976 | Validation Loss: 2.0654 | Test Loss: 2.0654
Epoch: 1 | Training Loss: 0.9632 | Validation Loss: 0.2843 | Test Loss: 0.2840
Epoch: 2 | Training Loss: 0.3791 | Validation Loss: 1.3462 | Test Loss: 1.3470
Epoch: 3 | Training Loss: 0.4364 | Validation Loss: 0.2504 | Test Loss: 0.2500
Epoch: 4 | Training Loss: 0.3165 | Validation Loss: 0.2671 | Test Loss: 0.2671
Epoch: 5 | Training Loss: 0.2475 | Validation Loss: 0.2375 | Test Loss: 0.2375
Epoch: 6 | Training Loss: 0.2334 | Validation Loss: 0.2313 | Test Loss: 0.2314
Epoch: 7 | Training Loss: 0.2711 | Validation Loss: 0.2367 | Test Loss: 0.2367
Epoch: 8 | Training Loss: 0.2323 | Validation Loss: 0.2300 | Test Loss: 0.2300
Epoch: 9 | Training Loss: 0.2279 | Validation Loss: 0.2271 | Test Loss: 0.2270
Epoch: 10 | Training Loss: 0.2253 | Validation Loss: 0.2253 | Test Loss: 0.2252
Epoch: 11 | Training Loss: 0.2445 | Validation Loss: 0.2298 | Test Loss: 0.2298
Epoch: 12 | Training Loss: 0.2258 | Validation Loss: 0.2256 | Test Loss: 0.2255
Epoch: 13 | Training Loss: 0.2230 | Validation Loss: 0.2233 | Test Loss: 0.2231
Epoch: 14 | Training Loss: 0.2212 | Validation Loss: 0.2213 | Test Loss: 0.2212
Epoch: 15 | Training Loss: 0.2692 | Validation Loss: 0.2408 | Test Loss: 0.2407
Epoch: 16 | Training Loss: 0.2304 | Validation Loss: 0.2260 | Test Loss: 0.2258
Epoch: 17 | Training Loss: 0.2235 | Validation Loss: 0.2254 | Test Loss: 0.2249
Epoch: 18 | Training Loss: 0.2209 | Validation Loss: 0.2213 | Test Loss: 0.2211
Epoch: 19 | Training Loss: 0.2486 | Validation Loss: 0.4506 | Test Loss: 0.4525
